"latnum","longnum","start","end","severity","cause","flood"
22.70326667,91.61031667,NA,NA,NA,NA,"All Households"
22.70153333,91.60828333,NA,NA,NA,NA,"All Households"
22.70585,91.60421667,NA,NA,NA,NA,"All Households"
22.70635,91.59815,NA,NA,NA,NA,"All Households"
22.70571667,91.59808333,NA,NA,NA,NA,"All Households"
22.52606667,92.07261667,NA,NA,NA,NA,"All Households"
22.52855,92.07295,NA,NA,NA,NA,"All Households"
22.52881667,92.07185,NA,NA,NA,NA,"All Households"
22.52618333,92.07346667,NA,NA,NA,NA,"All Households"
22.5225,92.06693333,NA,NA,NA,NA,"All Households"
22.52425,92.0749,NA,NA,NA,NA,"All Households"
22.52566667,92.07455,NA,NA,NA,NA,"All Households"
22.52775,92.07363333,NA,NA,NA,NA,"All Households"
22.5267,92.07315,NA,NA,NA,NA,"All Households"
22.52605,92.07163333,NA,NA,NA,NA,"All Households"
22.523,92.0668,NA,NA,NA,NA,"All Households"
22.51681667,91.92535,NA,NA,NA,NA,"All Households"
22.51758333,91.92526667,NA,NA,NA,NA,"All Households"
22.50983333,91.91695,NA,NA,NA,NA,"All Households"
22.51668333,91.9217,NA,NA,NA,NA,"All Households"
22.51646667,91.91871667,NA,NA,NA,NA,"All Households"
22.51876667,91.91916667,NA,NA,NA,NA,"All Households"
22.51553333,91.924,NA,NA,NA,NA,"All Households"
22.51763333,91.92386667,NA,NA,NA,NA,"All Households"
22.51763333,91.92386667,NA,NA,NA,NA,"All Households"
22.15668333,92.08926667,NA,NA,NA,NA,"All Households"
22.1535,92.0837,NA,NA,NA,NA,"All Households"
22.15036667,92.0837,NA,NA,NA,NA,"All Households"
22.15633333,92.08736667,NA,NA,NA,NA,"All Households"
22.15468333,92.0882,NA,NA,NA,NA,"All Households"
22.15661667,92.0899,NA,NA,NA,NA,"All Households"
22.15695,92.09068333,NA,NA,NA,NA,"All Households"
22.15416667,92.08376667,NA,NA,NA,NA,"All Households"
23.61295,88.92236667,NA,NA,NA,NA,"All Households"
23.61233333,88.92351667,NA,NA,NA,NA,"All Households"
23.61353333,88.92395,NA,NA,NA,NA,"All Households"
23.61073333,88.92723333,NA,NA,NA,NA,"All Households"
23.60961667,88.9304,NA,NA,NA,NA,"All Households"
23.45651667,88.82983333,NA,NA,NA,NA,"All Households"
23.454,88.81745,NA,NA,NA,NA,"All Households"
23.45706667,88.83096667,NA,NA,NA,NA,"All Households"
23.45595,88.8317,NA,NA,NA,NA,"All Households"
23.45833333,88.83318333,NA,NA,NA,NA,"All Households"
23.45825,88.83383333,NA,NA,NA,NA,"All Households"
23.46191667,88.83365,NA,NA,NA,NA,"All Households"
23.45918333,88.83245,NA,NA,NA,NA,"All Households"
23.42475,91.01878333,NA,NA,NA,NA,"All Households"
23.42375,91.0173,NA,NA,NA,NA,"All Households"
23.4236,91.0167,NA,NA,NA,NA,"All Households"
23.42398333,91.01553333,NA,NA,NA,NA,"All Households"
23.42395,91.01626667,NA,NA,NA,NA,"All Households"
23.42186667,91.01533333,NA,NA,NA,NA,"All Households"
23.41741667,91.00895,NA,NA,NA,NA,"All Households"
23.49018333,91.11685,NA,NA,NA,NA,"All Households"
23.48941667,91.11526667,NA,NA,NA,NA,"All Households"
23.48996667,91.1143,NA,NA,NA,NA,"All Households"
23.4892,91.11531667,NA,NA,NA,NA,"All Households"
23.48981667,91.11445,NA,NA,NA,NA,"All Households"
